NAME,B19113A_001E,state,county,year
"Shelby County, Ohio",74772.0,39,149,2018
"Cottonwood County, Minnesota",69731.0,27,033,2018
"Scott County, Minnesota",115895.0,27,139,2018
"Dodge County, Minnesota",81471.0,27,039,2018
"Wabasha County, Minnesota",78529.0,27,157,2018
"Pipestone County, Minnesota",66458.0,27,117,2018
"Crow Wing County, Minnesota",68104.0,27,035,2018
"Norman County, Minnesota",68488.0,27,107,2018
"Wright County, Minnesota",94579.0,27,171,2018
"Nicollet County, Minnesota",80552.0,27,103,2018
"Douglas County, Minnesota",77001.0,27,041,2018
"Grant County, Minnesota",65789.0,27,051,2018
"Kittson County, Minnesota",71433.0,27,069,2018
"Le Sueur County, Minnesota",83703.0,27,079,2018
"Mahnomen County, Minnesota",69861.0,27,087,2018
"Chisago County, Minnesota",92760.0,27,025,2018
"Redwood County, Minnesota",68398.0,27,127,2018
"Yellow Medicine County, Minnesota",70959.0,27,173,2018
"Todd County, Minnesota",64817.0,27,153,2018
"Beltrami County, Minnesota",68807.0,27,007,2018
"Blue Earth County, Minnesota",80420.0,27,013,2018
"Houston County, Minnesota",72652.0,27,055,2018
"Lac qui Parle County, Minnesota",66657.0,27,073,2018
"Lake of the Woods County, Minnesota",65347.0,27,077,2018
"Otter Tail County, Minnesota",71165.0,27,111,2018
"Waseca County, Minnesota",72835.0,27,161,2018
"St. Louis County, Minnesota",74145.0,27,137,2018
"Anoka County, Minnesota",95774.0,27,003,2018
"Stearns County, Minnesota",78247.0,27,145,2018
"Lincoln County, Minnesota",67113.0,27,081,2018
"Marshall County, Minnesota",74423.0,27,089,2018
"Mille Lacs County, Minnesota",63210.0,27,095,2018
"Washington County, Minnesota",112173.0,27,163,2018
"Carlton County, Minnesota",74865.0,27,017,2018
"Kanabec County, Minnesota",63777.0,27,065,2018
"Koochiching County, Minnesota",64922.0,27,071,2018
"Red Lake County, Minnesota",78500.0,27,125,2018
"Morrison County, Minnesota",68618.0,27,097,2018
"Rice County, Minnesota",84596.0,27,131,2018
"Steele County, Minnesota",82843.0,27,147,2018
"Aitkin County, Minnesota",57130.0,27,001,2018
"Faribault County, Minnesota",68069.0,27,043,2018
"Murray County, Minnesota",75694.0,27,101,2018
"Kandiyohi County, Minnesota",73970.0,27,067,2018
"Lake County, Minnesota",70022.0,27,075,2018
"Rock County, Minnesota",68750.0,27,133,2018
"Sibley County, Minnesota",74593.0,27,143,2018
"Traverse County, Minnesota",63427.0,27,155,2018
"Becker County, Minnesota",73743.0,27,005,2018
"Hennepin County, Minnesota",113732.0,27,053,2018
"Brown County, Minnesota",76796.0,27,015,2018
"Chippewa County, Minnesota",74043.0,27,023,2018
"Clearwater County, Minnesota",62938.0,27,029,2018
