NAME,B19301D_001E,state,county,year
"Clinton County, Ohio",25393.0,39,027,2018
"Fayette County, Ohio",14160.0,39,047,2018
"Pickaway County, Ohio",11564.0,39,129,2018
"Logan County, Ohio",31525.0,39,091,2018
"Summit County, Ohio",24891.0,39,153,2018
"Sandusky County, Ohio",20197.0,39,143,2018
"Shelby County, Ohio",34363.0,39,149,2018
"Cottonwood County, Minnesota",13647.0,27,033,2018
"Scott County, Minnesota",34065.0,27,139,2018
"Dodge County, Minnesota",17667.0,27,039,2018
"Wabasha County, Minnesota",24655.0,27,157,2018
"Pipestone County, Minnesota",29833.0,27,117,2018
"Crow Wing County, Minnesota",26106.0,27,035,2018
"Norman County, Minnesota",60529.0,27,107,2018
"Wright County, Minnesota",27008.0,27,171,2018
"Nicollet County, Minnesota",27585.0,27,103,2018
"Douglas County, Minnesota",17190.0,27,041,2018
"Grant County, Minnesota",,27,051,2018
"Kittson County, Minnesota",11327.0,27,069,2018
"Le Sueur County, Minnesota",38654.0,27,079,2018
"Mahnomen County, Minnesota",41167.0,27,087,2018
"Chisago County, Minnesota",27335.0,27,025,2018
"Redwood County, Minnesota",14678.0,27,127,2018
"Yellow Medicine County, Minnesota",18744.0,27,173,2018
"Todd County, Minnesota",18670.0,27,153,2018
"Beltrami County, Minnesota",50934.0,27,007,2018
"Blue Earth County, Minnesota",23926.0,27,013,2018
"Houston County, Minnesota",5446.0,27,055,2018
"Lac qui Parle County, Minnesota",13632.0,27,073,2018
"Lake of the Woods County, Minnesota",,27,077,2018
"Otter Tail County, Minnesota",16532.0,27,111,2018
"Waseca County, Minnesota",15871.0,27,161,2018
"St. Louis County, Minnesota",22009.0,27,137,2018
"Anoka County, Minnesota",29537.0,27,003,2018
"Stearns County, Minnesota",23258.0,27,145,2018
"Lincoln County, Minnesota",,27,081,2018
"Marshall County, Minnesota",34135.0,27,089,2018
"Mille Lacs County, Minnesota",8883.0,27,095,2018
"Washington County, Minnesota",35755.0,27,163,2018
"Carlton County, Minnesota",16625.0,27,017,2018
"Kanabec County, Minnesota",22820.0,27,065,2018
"Koochiching County, Minnesota",14588.0,27,071,2018
"Red Lake County, Minnesota",,27,125,2018
"Morrison County, Minnesota",12314.0,27,097,2018
"Rice County, Minnesota",18523.0,27,131,2018
"Steele County, Minnesota",8932.0,27,147,2018
"Aitkin County, Minnesota",35819.0,27,001,2018
"Faribault County, Minnesota",15333.0,27,043,2018
"Murray County, Minnesota",39552.0,27,101,2018
"Kandiyohi County, Minnesota",15407.0,27,067,2018
"Lake County, Minnesota",,27,075,2018
"Rock County, Minnesota",17169.0,27,133,2018
"Sibley County, Minnesota",21183.0,27,143,2018
"Traverse County, Minnesota",,27,155,2018
"Becker County, Minnesota",27079.0,27,005,2018
"Hennepin County, Minnesota",37910.0,27,053,2018
"Brown County, Minnesota",33014.0,27,015,2018
"Chippewa County, Minnesota",14194.0,27,023,2018
"Clearwater County, Minnesota",37467.0,27,029,2018
"Hubbard County, Minnesota",29834.0,27,057,2018
"Isanti County, Minnesota",24356.0,27,059,2018
"Martin County, Minnesota",22352.0,27,091,2018
"Mower County, Minnesota",16479.0,27,099,2018
"Pine County, Minnesota",15843.0,27,115,2018
"Olmsted County, Minnesota",40264.0,27,109,2018
"Wadena County, Minnesota",28884.0,27,159,2018
"Benton County, Minnesota",20435.0,27,009,2018
"Freeborn County, Minnesota",14460.0,27,047,2018
"McLeod County, Minnesota",27512.0,27,085,2018
"Pope County, Minnesota",23807.0,27,121,2018
"Stevens County, Minnesota",20935.0,27,149,2018
"Swift County, Minnesota",11533.0,27,151,2018
"Holmes County, Mississippi",,28,051,2018
"Amite County, Mississippi",,28,005,2018
"Calhoun County, Mississippi",,28,013,2018
"Tishomingo County, Mississippi",,28,141,2018
"Wayne County, Mississippi",,28,153,2018
"Austin County, Texas",17293.0,48,015,2018
"Kenedy County, Texas",,48,261,2018
"Nueces County, Texas",33837.0,48,355,2018
"Colorado County, Texas",35357.0,48,089,2018
"San Patricio County, Texas",16833.0,48,409,2018
"Rains County, Texas",,48,379,2018
"Randall County, Texas",43351.0,48,381,2018
"Real County, Texas",,48,385,2018
